Iteration,MSE_DGP,MSE_estimated_DGP,func_loss
1,0.0005875900387763977,0.09854920953512192,0.015593349696481946
2,3.642482988652773e-05,0.4163283407688141,0.012770963188140068
3,0.0003088663797825575,0.3180857300758362,0.006399115385849857
4,0.00020419291104190052,0.22432711720466614,0.019628934521245322
5,0.03236144408583641,0.03138028830289841,0.030441172526075713
6,1.4277666195994243e-05,0.46711114048957825,0.01468725826944811
7,0.000727413163986057,0.3750230669975281,0.039801543117155905
8,0.0002770145074464381,0.1218893751502037,0.00909612215494875
9,0.0003122699272353202,0.3001960813999176,0.004187637015194114
10,0.00032070549787022173,0.5608706474304199,0.0622877580139579
11,0.00044672517105937004,0.0020025840494781733,0.004240350568175523
12,0.00027890835190191865,0.27376246452331543,0.009253283841880384
13,2.8761724024661817e-05,0.00019908862304873765,0.0029736824178177848
14,1.4169698260957375e-05,0.0001670707861194387,0.0025801803362642036
15,0.0006451061344705522,0.7745344638824463,0.039030063254931184
16,1.793840783648193e-05,0.3444848358631134,0.025866463270547143
17,0.0002358404890401289,0.001941619091667235,0.003426721655867166
18,2.7296404368826188e-05,0.618487536907196,0.01069579384919187
19,2.8514055884443223e-05,0.3458280563354492,0.008526685913373647
20,0.0007312302477657795,0.25250139832496643,0.017028215453373612
21,6.909015064593405e-05,0.22869811952114105,0.006998483098060306
22,0.0020243723411113024,0.5670403242111206,0.017502543844144652
23,1.5150376384553965e-05,5.644382326863706e-05,0.0022892157150501452
24,0.00016610648890491575,0.16868488490581512,0.00900478740826387
25,2.4932487576734275e-05,0.1224885880947113,0.00545029729471059
26,0.0004611930635292083,0.012986021116375923,0.006447259168554511
27,1.8563714547781274e-05,0.5779074430465698,0.004362293051262559
28,1.2425814929883927e-05,0.19712816178798676,0.014448356482683233
29,0.0002642372564878315,0.28538763523101807,0.030623611974685144
30,2.0253313778084703e-05,0.4620742201805115,0.014472908249849247
31,2.9518654628191143e-05,0.5993520617485046,0.020915179806588975
32,2.754307206487283e-05,0.0006362508866004646,0.002857171595139705
33,0.0001795124844647944,1.0175414085388184,0.005809558818496212
34,2.2421507310355082e-05,0.019467219710350037,0.004590159725113254
35,2.138238232873846e-05,0.39580875635147095,0.0030223117684255595
36,1.6601958122919314e-05,0.021310361102223396,0.0030407625718335447
37,1.2263353710295632e-05,0.11406821757555008,0.005875535447288443
38,1.6262072676909156e-05,0.2752799093723297,0.003634244999072204
39,0.0002398389478912577,0.232510507106781,0.003653551096148375
40,4.107447239221074e-05,1.4203574657440186,0.003836857455704982
41,0.00016822964244056493,0.26245808601379395,0.004340224703170221
42,0.0005995869287289679,0.03631626442074776,0.006933181838205739
43,2.0383589799166657e-05,0.9880602955818176,0.021494036245039077
44,0.00039304594974964857,0.06124642491340637,0.009243747631208625
45,0.00045437683002091944,0.7107468843460083,0.027530260530679865
46,1.665573290665634e-05,0.31025439500808716,0.009243046960802059
47,8.670258102938533e-05,0.0010658876271918416,0.0031951923091481957
48,1.4899251254973933e-05,8.359967614524066e-05,0.00225022442572043
49,0.0002672174305189401,0.0013891230337321758,0.004216044710052234
50,0.00035704387119039893,0.02386428229510784,0.007603812669576319
