Iteration,MSE_MGP,MSE_estimated_MGP,func_loss
1,2.5417725737497676e-06,0.3350219428539276,0.0004417351200471684
2,5.1905581130995415e-06,0.5675551295280457,0.0003686728147537603
3,2.2680942493025213e-06,0.10408200323581696,0.0003475091537068322
4,2.4634880446683383e-06,0.2878383994102478,0.0005914577785814698
5,3.710524879352306e-06,1.1777305603027344,0.00034301501687473827
6,2.5744714093889343e-06,0.0321325808763504,0.00028919663600390777
7,3.2340819871023996e-06,0.3108687102794647,0.0003937109187164525
8,3.0399392016988713e-06,0.625064492225647,0.002254660626459992
9,2.0041584321006667e-06,0.03453736752271652,0.00039867765156453025
10,2.9834554879926145e-06,0.3038444519042969,0.0004949385606273103
11,1.6023814168875106e-06,0.024706831201910973,0.00034987167223503264
12,1.32105344619049e-06,0.26383525133132935,0.00024390954240516294
13,2.3363015770883067e-06,0.4651745557785034,0.0005619685894931468
14,1.4904384215697064e-06,1.1976043424510863e-05,0.0003424779533142336
15,1.5172448684097617e-06,0.20905530452728271,0.0004459571488647877
16,1.3883504834666383e-06,0.026516923680901527,0.000251180786344102
17,1.8909322534454986e-06,0.5791305303573608,0.0016876374441684068
18,2.2849824290460674e-06,4.647569949156605e-05,0.0003256947748013772
19,1.8358086890657432e-06,0.014472185634076595,0.0002990607173598147
20,1.8483270878277835e-06,0.04068373143672943,0.00038822011319334033
21,9.230413411387417e-07,2.6593272195896134e-05,0.00025488409307770243
22,3.2611949336569523e-06,0.2816023528575897,0.00030392265236716613
23,2.5346505481138593e-06,0.6272521615028381,0.00046395929361838
24,2.808252702379832e-06,0.1291411817073822,0.0004294944386250184
25,2.854105332517065e-06,0.6977847218513489,0.0003519243431650533
26,3.362772531545488e-06,0.26772409677505493,0.00032796002846293115
27,1.129578095060424e-06,0.26806244254112244,0.00031980556566311324
28,2.4016296720219543e-06,0.019307609647512436,0.0006667808497527234
29,1.8097885003953706e-06,0.007579975761473179,0.00024027830268433145
30,1.64961340942682e-06,2.99439525406342e-05,0.0002628167371936056
31,1.5874612699917634e-06,3.818751429207623e-05,0.00029180096855809635
32,2.87723082692537e-06,0.7983119487762451,0.00047564707549301803
33,3.6999160784034757e-06,0.06060958653688431,0.0003954691342692564
34,3.990730874647852e-06,0.24391978979110718,0.0005145301666171117
35,1.4492097761831246e-06,0.00010090621071867645,0.00029425796297059776
36,2.195939032390015e-06,0.3245534598827362,0.0006741692190256867
37,2.6994348445441574e-06,0.2670614719390869,0.0003035905237656725
38,1.029649183692527e-06,0.0915403738617897,0.0003277207864879596
39,2.1584980913758045e-06,0.5396987795829773,0.005021816221415065
40,2.364056626902311e-06,0.12780997157096863,0.0005393341539106418
41,3.5287773698655656e-06,0.2812226712703705,0.00036730592472411917
42,1.7296617897955002e-06,0.42041972279548645,0.0003445461843512021
43,3.05518710774777e-06,0.012596736662089825,0.00047555531445040187
44,2.494005684638978e-06,0.34000152349472046,0.00031815350720771
45,1.851450178946834e-06,0.2201521396636963,0.00046059946395905207
46,2.4086268695100443e-06,0.022294428199529648,0.0005375676946978611
47,2.4993655642902013e-06,0.10689862817525864,0.00026568043846998115
48,1.6550478676435887e-06,0.3735157549381256,0.0003358568994574145
49,2.9585066840809304e-06,0.18623875081539154,0.0024233939844567364
50,1.4014987073096563e-06,0.4304787814617157,0.00045605001044653665
