Iteration,MSE_NNMGP,MSE_estimated_NNMGP,func_loss
1,1.8481872757547535e-05,0.3284662365913391,0.004530862273558914
2,0.00022609710867982358,0.009350507520139217,0.006525474153830955
3,3.84534832846839e-05,0.47704005241394043,0.0027416959761736776
4,0.0002220880560344085,0.569220244884491,0.011571440647121225
5,0.00034224672708660364,0.1022496148943901,0.017820300651321844
6,6.45694017293863e-05,0.5115124583244324,0.007786562595423742
7,0.00303220609202981,0.2619154155254364,0.023934145206348383
8,0.0014398163184523582,0.08641353994607925,0.013563433265382493
9,0.00018548010848462582,0.5676820278167725,0.01573294292298939
10,0.00030589188099838793,0.42840492725372314,0.019733690215852456
11,4.953603638568893e-05,0.27222582697868347,0.0013396926384572267
12,0.00024893219233490527,0.0016172811156138778,0.003341714980908566
13,2.0743913410115056e-05,0.24918492138385773,0.018219253552228178
14,0.00010020220361184329,0.00013954546011518687,0.003290765876752428
15,4.597595034283586e-05,0.26050034165382385,0.004115560916640486
16,0.0003933027619495988,0.6267164349555969,0.03011388792256858
17,0.0022113341838121414,0.22604557871818542,0.014387722938274103
18,0.0003444780595600605,0.33201104402542114,0.017222975641036302
19,5.0110771553590894e-05,0.2641151547431946,0.008455460206109652
20,0.00022989952412899584,0.673957347869873,0.04153750082467148
21,0.00021993642440065742,0.14257517457008362,0.007104193105920718
22,0.00030516128754243255,0.008769690059125423,0.00551535399292199
23,1.4731144801771734e-05,0.013106275349855423,0.008237576109725827
24,0.00013609726738650352,0.0024905630853027105,0.005791045261301204
25,2.5275594452978112e-05,0.0842316746711731,0.0036741732379865694
26,5.8511133829597384e-05,0.029704682528972626,0.006241315927009391
27,2.8710699552902952e-05,0.2797996699810028,0.02517966355393313
28,4.35543006460648e-05,0.35000690817832947,0.002847298587396465
29,0.0007087653502821922,0.2792600989341736,0.010532022713892662
30,5.692216655006632e-05,0.10439755022525787,0.00716199173297759
31,0.00021428939362522215,0.2585299015045166,0.01415793871489802
32,0.00017170222417917103,0.46836042404174805,0.011513250420210642
33,0.0003134231665171683,0.1587536334991455,0.007664798106513142
34,0.0020337440073490143,0.17111578583717346,0.007352631574408237
35,1.1765246199502144e-05,0.057771530002355576,0.0019248605978511343
36,0.002055322751402855,0.6002527475357056,0.00973695369558064
37,5.6753528042463586e-05,0.03148743137717247,0.0022390444716654237
38,0.00020231837697792798,0.23024693131446838,0.006301195023600788
39,0.0020099047105759382,0.0016497639007866383,0.012377697769638703
40,2.422247598588001e-05,0.12339574098587036,0.0014734584681853583
41,9.164254151983187e-05,0.14765244722366333,0.006902076246155452
42,0.0015399644616991282,0.005256680306047201,0.009789903271195255
43,0.0006429763743653893,0.09261365234851837,0.010008111476458402
44,0.0003267126448918134,0.8685562610626221,0.009077480144225302
45,2.2140435248729773e-05,0.00014731974806636572,0.0018982805090167352
46,0.00012091611279174685,0.1489739716053009,0.004448603069182287
47,1.9130355212837458e-05,0.06381198018789291,0.0047847657683801285
48,6.005130126141012e-05,0.6298311948776245,0.01827664180692173
49,0.0002466728910803795,0.1528516411781311,0.006787542162648471
50,0.00018756568897515535,1.1754157543182373,0.010224004508523244
