Iteration,MSE_NN,MSE_estimated_NN,func_loss
1,2.0809016859857365e-05,0.7208654880523682,0.0016298176188785066
2,3.0069149943301454e-05,0.011554020456969738,0.0011250296807298178
3,5.5530199460918084e-05,0.6397490501403809,0.001568564275523251
4,2.088724068016745e-05,0.017733825370669365,0.0009114976069044873
5,3.258486685808748e-05,0.4425590932369232,0.003936373451088676
6,2.2041567717678845e-05,0.08017805963754654,0.001828061690806256
7,5.1277409511385486e-05,0.933269739151001,0.001819335908092196
8,4.1765735659282655e-05,0.0647270530462265,0.0015055463847130778
9,2.430933091090992e-05,0.00026077896472997963,0.0015207622704178061
10,3.1439649319509044e-05,0.006722920574247837,0.0019262156983367513
11,2.6347437596996315e-05,0.18790704011917114,0.013765678344902376
12,3.4729280741885304e-05,0.3706669211387634,0.0013167469911018594
13,3.57481803803239e-05,0.20819184184074402,0.0016505495155730318
14,4.043541775899939e-05,0.5226388573646545,0.0017593271348030409
15,3.2326650398317724e-05,0.7447988986968994,0.01419235959528359
16,4.305647235014476e-05,0.17424453794956207,0.008587615713218434
17,3.708468284457922e-05,0.10136113315820694,0.0050033829385130145
18,4.7750971134519204e-05,0.09039892256259918,0.0038593166962662645
19,2.8213917175889947e-05,0.006518799811601639,0.0010662377722770475
20,3.597746399464086e-05,0.01997549645602703,0.0026943561214365116
21,0.00010926376126008108,0.2955266237258911,0.006362481506517657
22,2.1954789190203883e-05,0.0635284036397934,0.004760508160904498
23,9.245552791981027e-05,0.22791297733783722,0.0017101333395220099
24,2.9115813958924264e-05,0.1326424926519394,0.0025824189840393417
25,2.2663107301923446e-05,0.0003658055793493986,0.0011027697146346327
26,0.0001230202615261078,0.2065286785364151,0.004963403491004741
27,3.9001944969641045e-05,0.583186686038971,0.0020538132812362164
28,3.340296461828984e-05,0.12239259481430054,0.004921098112255869
29,4.4102678657509387e-05,0.036482565104961395,0.006386419174237677
30,2.472720734658651e-05,0.04855310916900635,0.003833180970643837
31,3.7315054214559495e-05,0.022409716621041298,0.006811953099612664
32,1.5636420357623138e-05,0.47080710530281067,0.003469218094930208
33,2.358552774239797e-05,0.1101764664053917,0.0062235997915936255
34,4.3858028220711276e-05,0.2998441159725189,0.0014169426708745218
35,1.4256064787332434e-05,0.07326161116361618,0.010051435495471297
36,1.931499718921259e-05,0.29576921463012695,0.017007340812496195
37,3.620361894718371e-05,0.03921957686543465,0.0018709736398671306
38,2.419188604108058e-05,0.000984810059890151,0.0011462624885704524
39,4.976603668183088e-05,0.5626914501190186,0.005081971609696565
40,3.022971395694185e-05,0.00039108755299821496,0.0012081830880358918
41,0.0002296414750162512,0.0001349802769254893,0.0010517511912405974
42,3.640574504970573e-05,0.0744316577911377,0.0015131355485883196
43,3.5738277802011e-05,0.1706293523311615,0.007282000873130056
44,2.0763129214174114e-05,0.5135573148727417,0.0015457237561888717
45,4.038981205667369e-05,0.08473682403564453,0.007703829728901231
46,6.759446841897443e-05,0.12849579751491547,0.002329602825301225
47,5.171998782316223e-05,1.1712195873260498,0.012770825869530975
48,1.9524490198818967e-05,0.2846834659576416,0.002860731759196992
49,5.542467988561839e-05,0.7531274557113647,0.0018872013956920623
50,0.00016955941100604832,0.03832502290606499,0.0025767503064815646
