Iteration,MSE_NN,MSE_estimated_NN
1,2.077886529150419e-05,4.0616858314024284e-05
2,2.8467460651881993e-05,7.911355351097882e-05
3,2.5944151275325567e-05,4.5235734432935715e-05
4,2.7331107048667036e-05,4.848326716455631e-05
5,2.6318239179090597e-05,3.516323704388924e-05
6,3.398300759727135e-05,6.168524123495445e-05
7,3.8335791032295674e-05,0.00011786101094912738
8,5.1656945288414136e-05,9.220807260135189e-05
9,3.659270441858098e-05,6.804355507483706e-05
10,2.2776019250159152e-05,9.862600563792512e-05
11,1.784971209417563e-05,2.976505311380606e-05
12,3.1431569368578494e-05,4.217832247377373e-05
13,4.535675543593243e-05,0.0001152583645307459
14,4.7799694584682584e-05,0.00016170066373888403
15,0.00016855857393238693,0.0001945146796060726
16,0.0001458070910302922,0.00025989391724579036
17,3.781895065912977e-05,4.492283915169537e-05
18,4.667780012823641e-05,5.857452561031096e-05
19,5.7188142818631604e-05,8.354427700396627e-05
20,5.3641339036403224e-05,8.305672963615507e-05
21,0.00011316061136312783,8.654368139104918e-05
22,3.359952461323701e-05,4.0709375753067434e-05
23,3.8505088014062494e-05,5.442998735816218e-05
24,5.888782106922008e-05,0.0001299879077123478
25,0.00011221881868550554,0.00012376069207675755
26,5.6267141189891845e-05,6.62047605146654e-05
27,2.781561852316372e-05,3.7403544411063194e-05
28,3.414391176193021e-05,6.171090353745967e-05
29,5.8489978982834145e-05,6.939494051039219e-05
30,0.00014312248094938695,0.00030931815854273736
31,3.9725851820548996e-05,6.002187728881836e-05
32,2.989402310049627e-05,4.054990495205857e-05
33,6.962724728509784e-05,9.279761434299871e-05
34,6.40131693216972e-05,0.00010939255298580974
35,4.537416316452436e-05,6.164098886074498e-05
36,5.456140570458956e-05,9.549646347295493e-05
37,2.9493812689906918e-05,4.867341340286657e-05
38,7.701667345827445e-05,6.630615098401904e-05
39,3.521481994539499e-05,6.436918920371681e-05
40,5.8052177337231115e-05,0.0001478736085118726
41,2.7885074814548716e-05,5.252532719168812e-05
42,3.770923285628669e-05,5.194707046030089e-05
43,3.959870446124114e-05,4.474821616895497e-05
44,5.438544394564815e-05,6.658385245827958e-05
45,3.0714814784005284e-05,4.5635373680852354e-05
46,0.002182482276111841,0.007380479481071234
47,2.854248486983124e-05,4.424106009537354e-05
48,3.30510301864706e-05,5.360419163480401e-05
49,2.171566848119255e-05,3.368556281202473e-05
50,5.634473927784711e-05,9.910888911690563e-05
