Iteration,MSE_MGP,MSE_estimated_MGP
1,1.5602567145833746e-05,1.6874655485153198
2,9.457276973989792e-06,0.7519056797027588
3,1.0469888366060331e-05,0.5855168700218201
4,9.205483365803957e-06,1.0782957077026367
5,1.2822439202864189e-05,1.2004425525665283
6,1.1297511264274362e-05,0.7825974225997925
7,1.1405292752897367e-05,0.852665364742279
8,6.166956609376939e-06,1.1506680250167847
9,1.511640311946394e-05,0.563114583492279
10,1.0496382856217679e-05,0.8353108763694763
11,1.3547773960453924e-05,1.1044402122497559
12,8.462473488179967e-06,0.8563783168792725
13,7.805369932611939e-06,0.7915559411048889
14,1.0356864549976308e-05,0.5424357056617737
15,1.1680875104502775e-05,0.6421467661857605
16,1.1829678442154545e-05,1.457963466644287
17,1.0846912118722685e-05,0.9127039313316345
18,1.3604941159428563e-05,1.2414616346359253
19,9.835761375143193e-06,0.5182222723960876
20,1.1869962690980174e-05,0.8075650334358215
21,1.1033438568119891e-05,0.7603892683982849
22,1.4165864740789402e-05,0.8543362021446228
23,1.0581610695226118e-05,0.9022189974784851
24,1.2422642612364143e-05,1.2545149326324463
25,7.263721727213124e-06,0.47332122921943665
26,8.677848200022709e-06,1.0616754293441772
27,1.2946740753250197e-05,0.5496042370796204
28,2.0487676010816358e-05,1.0821744203567505
29,1.0424003448861185e-05,0.6825165748596191
30,1.0209140782535542e-05,0.7140898704528809
31,9.269491783925332e-06,0.7860158085823059
32,1.2163917745056096e-05,0.5071842074394226
33,1.3008279893256258e-05,0.8706797957420349
34,1.3300846148922574e-05,0.48832517862319946
35,1.4626515621785074e-05,1.1753636598587036
36,1.1659889423754066e-05,0.7717922329902649
37,1.5171138329606038e-05,0.9204139709472656
38,8.135811185638886e-06,0.6126551628112793
39,7.2191596700577065e-06,0.5132497549057007
40,1.1321934834995773e-05,0.604605495929718
41,2.619077349663712e-05,0.7225586771965027
42,1.8053269741358235e-05,1.056287169456482
43,1.1918486052309163e-05,0.7432533502578735
44,6.94265463607735e-06,0.9566897749900818
45,1.619147769815754e-05,0.7119084596633911
46,2.230652899015695e-05,1.1189123392105103
47,1.3572666830441449e-05,1.4203821420669556
48,1.65087913046591e-05,0.7276047468185425
49,8.124688065436203e-06,0.6123682856559753
50,7.83754512667656e-06,0.7221870422363281
