Iteration,MSE_DGP,MSE_estimated_DGP
1,0.00038143826532177627,0.5110310316085815
2,0.06566476076841354,0.8278615474700928
3,0.002230151556432247,0.3861944079399109
4,0.019192254170775414,0.5303245186805725
5,7.411325350403786e-05,0.12274350970983505
6,0.001538143609650433,0.20600572228431702
7,0.00890321470797062,0.4540782570838928
8,7.444339280482382e-05,0.13959501683712006
9,0.003398052416741848,0.6515980958938599
10,0.03136250749230385,0.9781944155693054
11,0.00026432605227455497,0.30463138222694397
12,0.00219454662874341,0.5267919301986694
13,0.0009661206277087331,0.39663344621658325
14,0.0270835068076849,0.75634765625
15,0.005420605186372995,0.5333800911903381
16,0.030274879187345505,0.7635512351989746
17,0.0029454389587044716,0.12342118471860886
18,0.0010971720330417156,0.2703571617603302
19,6.342408596538007e-05,0.30308640003204346
20,0.000333263335051015,0.5063140988349915
21,0.0012696700869128108,0.45652809739112854
22,0.0013735804241150618,0.31049612164497375
23,0.10987427085638046,1.0740303993225098
24,0.007357391063123941,0.4796644449234009
25,4.7786594222998247e-05,0.17720037698745728
26,0.1893819123506546,1.3531277179718018
27,0.000993153196759522,0.035305704921483994
28,0.00010421162733109668,0.09635265171527863
29,0.00048209275701083243,0.3298881947994232
30,8.578353299526498e-05,0.14653049409389496
31,0.000963282713200897,0.5564174056053162
32,0.000533104466740042,0.0939837247133255
33,0.007538645528256893,0.46021661162376404
34,5.7774803281063214e-05,0.40858104825019836
35,0.0003147335082758218,0.035593412816524506
36,0.014764697290956974,0.358303964138031
37,4.6777269744779915e-05,0.08808503299951553
38,0.006869300734251738,0.4417756497859955
39,6.575277802767232e-05,0.061539988964796066
40,0.0004150915483478457,0.29754751920700073
41,0.0003381448332220316,0.29103824496269226
42,0.09452085196971893,0.9832383990287781
43,0.002660194644704461,0.5749870538711548
44,0.027738705277442932,0.8490539789199829
45,0.0027314764447510242,0.36834150552749634
46,0.01805873028934002,0.6022125482559204
47,4.6334600483532995e-05,0.02141917124390602
48,5.573543967329897e-05,0.2564135193824768
49,0.011315169744193554,0.3211020827293396
50,0.014340844005346298,0.7265471816062927
