Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP
1,0.0013404616620391607,1.435839056968689
2,0.0008351189317181706,1.1973477602005005
3,0.0014926409348845482,1.686227560043335
4,0.000974478549323976,1.5277315378189087
5,0.0015258552739396691,1.959930658340454
6,0.000765256758313626,1.1193050146102905
7,0.001342483563348651,0.709117591381073
8,0.001427222159691155,1.7369558811187744
9,0.0009190348791889846,1.1000138521194458
10,0.0013959546340629458,1.4129775762557983
11,0.0018796342192217708,1.7915345430374146
12,0.0017836984479799867,1.6118464469909668
13,0.0011991070350632071,1.3357264995574951
14,0.0009354580543003976,1.0378532409667969
15,0.0010545395780354738,1.8925107717514038
16,0.0012318635126575828,1.3803350925445557
17,0.001374969258904457,1.343883752822876
18,0.0038009360432624817,1.4415980577468872
19,0.0010435146978124976,1.0470350980758667
20,0.0010008243843913078,1.292063593864441
21,0.0014601669972762465,1.4415454864501953
22,0.0013458338798955083,1.0606365203857422
23,0.0008213634719140828,0.9253036379814148
24,0.000810325494967401,1.2074600458145142
25,0.0010384261840954423,1.1113972663879395
26,0.0015083352336660028,2.185110092163086
27,0.0007729625212959945,1.828494906425476
28,0.0017758116591721773,1.1804025173187256
29,0.0011030660243704915,1.0528693199157715
30,0.0015526219503954053,1.258147120475769
31,0.0013559539802372456,1.3971158266067505
32,0.0011998355621472,1.1713143587112427
33,0.0013906368985772133,1.655860185623169
34,0.0009070464875549078,0.8562066555023193
35,0.001024502096697688,1.0748977661132812
36,0.0011053140042349696,0.7611830830574036
37,0.0008817193447612226,1.1805570125579834
38,0.0011783872032538056,1.295860767364502
39,0.0007139174267649651,0.87183678150177
40,0.0011664441553875804,1.042742133140564
41,0.0011212830431759357,1.6203620433807373
42,0.001733856974169612,1.9014164209365845
43,0.0011150204809382558,1.314155101776123
44,0.0015966729260981083,1.2972092628479004
45,0.0011685341596603394,1.6482454538345337
46,0.0016034391010180116,1.8040715456008911
47,0.0011119544506072998,1.515710711479187
48,0.0010216912487521768,0.7485828995704651
49,0.0009727634605951607,1.480781078338623
50,0.0012854788219556212,1.2272063493728638
