Iteration,MSE_VGP,MSE_estimated_VGP
1,0.00011290409747743979,0.0002198143192799762
2,0.00028713184292428195,0.000333517964463681
3,0.00010138360084965825,0.00010254836524836719
4,0.00012514408444985747,0.0007105164113454521
5,0.0002461732947267592,0.000859504216350615
6,0.0001099649234674871,0.00024549756199121475
7,0.00019520737987477332,0.0010382956825196743
8,0.00022350945801008493,0.0003181245119776577
9,0.00011248281953157857,0.00016810110537335277
10,7.708196790190414e-05,0.012954567559063435
11,0.0008098221733234823,0.0011918931268155575
12,0.0001521813974250108,0.00024481944274157286
13,0.0002974455710500479,0.001585769234225154
14,0.0002824859693646431,0.00045855087228119373
15,0.00022549915593117476,0.000982867437414825
16,0.0002692367124836892,0.00037944738869555295
17,0.00018736085621640086,0.0003855174290947616
18,0.0002658418088685721,0.00031717694946564734
19,7.591609028168023e-05,0.0003392913786228746
20,0.00012710221926681697,0.0002592508099041879
21,0.00023748405510559678,0.001659221132285893
22,0.00014323949289973825,0.00040000956505537033
23,0.0001336610730504617,0.0007697300752624869
24,0.00014806591207161546,0.00037123955553397536
25,0.00028790009673684835,0.0007084246608428657
26,0.0003050084342248738,0.002172548323869705
27,0.0003014726680703461,0.000730028550606221
28,0.0001518351782578975,0.0005031620967201889
29,0.00024362427939195186,0.0007828623056411743
30,0.0001363451883662492,0.00018538230506237596
31,0.00015433999942615628,0.0003036733251065016
32,0.00015563271881546825,0.07016871869564056
33,0.00011219912266824394,0.00020640977891162038
34,0.00014849739091005176,0.00036223954521119595
35,0.00035552732879295945,0.000497962930239737
36,0.0002449393505230546,0.001832449110224843
37,0.00043168297270312905,0.004715966992080212
38,0.00019797706045210361,0.000971465022303164
39,0.00022616361093241721,0.0006391418282873929
40,0.0001250430941581726,0.00014506244042422622
41,0.0004295573744457215,0.0008625235641375184
42,0.00019348249770700932,0.0004896887112408876
43,7.273296796483919e-05,9.77908493950963e-05
44,0.00011063316196668893,0.008867946453392506
45,8.908729796530679e-05,0.00015552206605207175
46,0.00016583169053774327,0.0003531799011398107
47,0.0002734984736889601,0.0014115596422925591
48,8.232257096096873e-05,0.00023039017105475068
49,0.0003521796897985041,0.0005489611066877842
50,0.00014669231313746423,0.000634094059932977
